epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1005,1.84141,2.65991,1.54182,0.25092,0.31783,0.19172,0.06709,2.06604,2.81909,1.74167,0.000474235,0.000474235,0.000474235
2,1960.79,1.87937,2.31145,1.56743,0.30696,0.3133,0.236,0.0861,2.13173,2.59989,1.83783,0.000931747,0.000931747,0.000931747
3,2822.68,1.89248,2.16606,1.58952,0.31601,0.34137,0.25011,0.0953,2.09976,2.46774,1.77786,0.0013704,0.0013704,0.0013704
4,3653.35,1.89411,2.11827,1.59969,0.33819,0.32275,0.24157,0.10021,2.10619,2.47196,1.77123,0.00134412,0.00134412,0.00134412
5,4478.27,1.85686,2.03959,1.55728,0.40664,0.38598,0.34537,0.14513,1.9964,2.0594,1.71347,0.00131582,0.00131582,0.00131582
6,5301.87,1.84479,1.94773,1.55069,0.37236,0.36081,0.3007,0.11918,2.07058,2.22811,1.81885,0.00128753,0.00128753,0.00128753
7,6140.83,1.78837,1.92442,1.51494,0.41442,0.42971,0.36056,0.15348,1.99191,2.0179,1.71407,0.00125923,0.00125923,0.00125923
8,6953.99,1.81035,1.89582,1.51952,0.4082,0.4286,0.35384,0.15027,1.93646,1.99292,1.65531,0.00123094,0.00123094,0.00123094
9,7781.85,1.77853,1.82858,1.49959,0.39653,0.42013,0.34012,0.14713,1.95269,2.02957,1.63228,0.00120265,0.00120265,0.00120265
10,8602.72,1.74855,1.80253,1.478,0.42227,0.42438,0.37226,0.15245,1.95936,2.02502,1.66156,0.00117435,0.00117435,0.00117435
11,9401.68,1.72562,1.78135,1.48251,0.38612,0.42198,0.33941,0.15092,1.90922,1.98094,1.6058,0.00114606,0.00114606,0.00114606
12,10351.3,1.74275,1.78866,1.47492,0.41729,0.44123,0.36753,0.16111,1.93051,1.93863,1.64081,0.00111776,0.00111776,0.00111776
13,11338.6,1.72181,1.74861,1.4617,0.44704,0.45629,0.39937,0.17049,1.9593,1.89221,1.68206,0.00108947,0.00108947,0.00108947
14,12249.8,1.68906,1.71452,1.45215,0.46187,0.42481,0.38876,0.17697,1.89767,1.88658,1.62049,0.00106118,0.00106118,0.00106118
